Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Año,Gènere,Salari mensual,Fills,No Fills,Grup Professional,nombre_completo,Nacida_en_España,Hijos,fecha_nacimiento,edad_actual,Increment
Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Altres,998.55,,1.0,Grup A,Mia Schneider Fischer,False,No,1976-10-22,49,0.05
Lea,Fischer,Alemanya,Berlín,9,9,1986,Dona,1438.5,1.0,,Grup A,Lea Fischer,False,Sí,1986-09-09,39,0.05
Lea,Müller,Alemanya,Hamburg,14,4,2003,Dona,1379.7,,1.0,Grup A,Lea Müller,False,No,2003-04-14,23,0.05
Laura,Schneider,Alemanya,Hamburg,25,1,1957,Dona,1436.4,,1.0,Grup A,Laura Schneider,False,No,1957-01-25,69,0.05
Anna,Müller,Alemanya,Munic,18,3,1956,Dona,1344.0,,1.0,Grup A,Anna Müller,False,No,1956-03-18,70,0.05
Mia,Schneider Müller,Alemanya,Munic,28,3,1957,Dona,804.3,,1.0,Grup A,Mia Schneider Müller,False,No,1957-03-28,69,0.05
Lukas,Müller Schmidt,Alemanya,Munic,23,2,2005,Home,1651.65,,1.0,Grup A,Lukas Müller Schmidt,False,No,2005-02-23,21,0.05
Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Home,1378.65,,1.0,Grup A,Matías Gómez Álvarez,False,No,1955-12-04,70,0.05
Lucía,Fernández,Argentina,Buenos Aires,8,8,1953,Dona,802.2,,1.0,Grup A,Lucía Fernández,False,No,1953-08-08,72,0.05
Lucía,Fernández,Argentina,Buenos Aires,28,11,1978,,795.9,,1.0,Grup A,Lucía Fernández,False,No,1978-11-28,47,0.05
Matías,Rodríguez,Argentina,Buenos Aires,12,6,1950,,1107.75,,1.0,Grup A,Matías Rodríguez,False,No,1950-06-12,75,0.05
Florencia,Álvarez,Argentina,Buenos Aires,14,11,1961,Dona,1095.15,,1.0,Grup A,Florencia Álvarez,False,No,1961-11-14,64,0.05
Lucas,Álvarez,Argentina,Buenos Aires,2,8,1978,Home,943.95,1.0,,Grup A,Lucas Álvarez,False,Sí,1978-08-02,47,0.05
Juan,Álvarez,Argentina,Buenos Aires,21,2,1968,Home,931.35,1.0,,Grup A,Juan Álvarez,False,Sí,1968-02-21,58,0.05
Lucía,Álvarez,Argentina,Buenos Aires,10,8,1972,Altres,1198.05,,1.0,Grup A,Lucía Álvarez,False,No,1972-08-10,53,0.05
Matías,Fernández,Argentina,Buenos Aires,28,4,1953,Home,1315.65,,1.0,Grup A,Matías Fernández,False,No,1953-04-28,73,0.05
Julieta,Fernández,Argentina,Buenos Aires,28,1,1961,Dona,1567.65,1.0,,Grup A,Julieta Fernández,False,Sí,1961-01-28,65,0.05
Martina,Gómez,Argentina,Buenos Aires,5,12,1963,Dona,1042.65,,1.0,Grup A,Martina Gómez,False,No,1963-12-05,62,0.05
Tomás,Gómez,Argentina,Còrdova,19,1,1996,Home,1159.2,1.0,,Grup A,Tomás Gómez,False,Sí,1996-01-19,30,0.05
Florencia,Gómez,Argentina,Còrdova,8,7,1984,,1673.7,,1.0,Grup A,Florencia Gómez,False,No,1984-07-08,41,0.05
Lucía,Fernández Álvarez,Argentina,Còrdova,11,3,1973,Dona,718.2,1.0,,Grup A,Lucía Fernández Álvarez,False,Sí,1973-03-11,53,0.05
Tomás,Fernández Fernández,Argentina,Còrdova,13,6,1964,Home,1090.95,,1.0,Grup A,Tomás Fernández Fernández,False,No,1964-06-13,61,0.05
Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Altres,1117.2,,1.0,Grup A,Valentina Gutiérrez Castro,False,No,2001-01-02,25,0.05
Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Home,1302.0,1.0,,Grup A,Felipe Torres,False,Sí,1970-03-19,56,0.05
Felipe,Gutiérrez Torres,Colòmbia,Bogotà,25,10,2004,Home,1444.8,,1.0,Grup A,Felipe Gutiérrez Torres,False,No,2004-10-25,21,0.05
Laura,Castro Gutiérrez,Colòmbia,Bogotà,18,2,1950,Dona,1044.75,,1.0,Grup A,Laura Castro Gutiérrez,False,No,1950-02-18,76,0.05
Daniel,Castro Torres,Colòmbia,Bogotà,5,4,1992,Home,1060.5,1.0,,Grup A,Daniel Castro Torres,False,Sí,1992-04-05,34,0.05
Daniel,Rojas Torres,Colòmbia,Bogotà,20,8,1985,Home,1529.85,1.0,,Grup A,Daniel Rojas Torres,False,Sí,1985-08-20,40,0.05
Santiago,Rojas,Colòmbia,Bogotà,5,4,1987,Home,870.45,,1.0,Grup A,Santiago Rojas,False,No,1987-04-05,39,0.05
Valentina,Torres Torres,Colòmbia,Medellín,24,7,1951,,1314.6,,1.0,Grup A,Valentina Torres Torres,False,No,1951-07-24,74,0.05
Daniela,Castro Castro,Colòmbia,Medellín,25,12,1980,Dona,1225.35,,1.0,Grup A,Daniela Castro Castro,False,No,1980-12-25,45,0.05
Daniela,Torres,Colòmbia,Medellín,17,5,1970,Dona,1117.2,1.0,,Grup A,Daniela Torres,False,Sí,1970-05-17,56,0.05
Sara,Torres Castro,Colòmbia,Medellín,8,8,1987,Dona,1097.25,,1.0,Grup A,Sara Torres Castro,False,No,1987-08-08,38,0.05
Andrés,Castro,Colòmbia,Medellín,8,3,2000,Altres,1045.8,,1.0,Grup A,Andrés Castro,False,No,2000-03-08,26,0.05
Laura,Rojas,Colòmbia,Medellín,9,5,1969,Dona,1037.4,,1.0,Grup A,Laura Rojas,False,No,1969-05-09,57,0.05
Laura,Castro,Colòmbia,Medellín,19,6,1958,Dona,1558.2,,1.0,Grup A,Laura Castro,False,No,1958-06-19,67,0.05
Daniel,Rojas Castro,Colòmbia,Medellín,7,10,1952,Home,838.95,1.0,,Grup A,Daniel Rojas Castro,False,Sí,1952-10-07,73,0.05
