Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Año,Gènere,Salari mensual,Fills,No Fills,Grup Professional,nombre_completo,Nacida_en_España,Hijos,fecha_nacimiento,edad_actual,Increment
Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1830.92,1.0,,Grup B,Laura Schneider Fischer,False,Sí,1958-02-02,68,0.035
Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2083.46,,1.0,Grup B,Lea Schneider Schneider,False,No,2005-10-23,20,0.035
Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1611.5,1.0,,Grup B,Mia Fischer,False,Sí,1950-08-11,75,0.035
Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Home,2113.47,,1.0,Grup B,Lukas Müller Fischer,False,No,1971-03-28,55,0.035
Laura,Schmidt,Alemanya,Hamburg,3,5,1956,,1891.98,1.0,,Grup B,Laura Schmidt,False,Sí,1956-05-03,70,0.035
Jonas,Schneider Schmidt,Alemanya,Hamburg,15,8,1983,Home,1527.66,1.0,,Grup B,Jonas Schneider Schmidt,False,Sí,1983-08-15,42,0.035
Mia,Fischer,Alemanya,Munic,8,9,1953,Dona,1724.31,,1.0,Grup B,Mia Fischer,False,No,1953-09-08,72,0.035
Leon,Schneider,Alemanya,Munic,5,5,1981,Home,1730.52,,1.0,Grup B,Leon Schneider,False,No,1981-05-05,45,0.035
Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Dona,1337.22,1.0,,Grup B,Martina Rodríguez Gómez,False,Sí,1978-03-10,48,0.035
Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Dona,1222.34,,1.0,Grup B,Julieta Rodríguez,False,No,1979-07-24,46,0.035
Juan,Álvarez Fernández,Argentina,Buenos Aires,11,8,1991,Home,1461.42,1.0,,Grup B,Juan Álvarez Fernández,False,Sí,1991-08-11,34,0.035
Lucas,Álvarez,Argentina,Buenos Aires,22,3,1984,Home,1728.45,,1.0,Grup B,Lucas Álvarez,False,No,1984-03-22,42,0.035
Tomás,Gómez,Argentina,Buenos Aires,3,10,1972,Home,1506.96,,1.0,Grup B,Tomás Gómez,False,No,1972-10-03,53,0.035
Matías,Rodríguez Gómez,Argentina,Buenos Aires,28,9,1957,Home,1514.2,1.0,,Grup B,Matías Rodríguez Gómez,False,Sí,1957-09-28,68,0.035
Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2152.8,1.0,,Grup B,Matías Gómez Gómez,False,Sí,2002-08-18,23,0.035
Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Home,1978.92,1.0,,Grup B,Lucas Álvarez Álvarez,False,Sí,1981-05-17,45,0.035
Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Home,2061.72,1.0,,Grup B,Lucas Fernández Álvarez,False,Sí,1993-04-27,33,0.035
Matías,Álvarez,Argentina,Còrdova,24,8,1954,Home,1745.01,1.0,,Grup B,Matías Álvarez,False,Sí,1954-08-24,71,0.035
Florencia,Gómez Fernández,Argentina,Còrdova,12,7,1992,Dona,1288.58,,1.0,Grup B,Florencia Gómez Fernández,False,No,1992-07-12,33,0.035
Florencia,Fernández,Argentina,Còrdova,14,10,1979,Dona,1251.32,,1.0,Grup B,Florencia Fernández,False,No,1979-10-14,46,0.035
Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1959.26,,1.0,Grup B,Sara Gutiérrez,False,No,1970-02-26,56,0.035
Valentina,Rojas,Colòmbia,Bogotà,6,9,1959,Dona,1226.47,,1.0,Grup B,Valentina Rojas,False,No,1959-09-06,66,0.035
Valentina,Torres,Colòmbia,Bogotà,14,1,1968,Dona,2111.4,,1.0,Grup B,Valentina Torres,False,No,1968-01-14,58,0.035
Sara,Castro,Colòmbia,Bogotà,4,12,1974,Dona,1577.34,1.0,,Grup B,Sara Castro,False,Sí,1974-12-04,51,0.035
Daniela,Castro,Colòmbia,Bogotà,9,3,1980,Dona,1728.45,1.0,,Grup B,Daniela Castro,False,Sí,1980-03-09,46,0.035
Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1506.96,,1.0,Grup B,Daniel Gutiérrez Castro,False,No,1976-05-04,50,0.035
Sara,Torres Castro,Colòmbia,Medellín,25,2,1992,Dona,1380.69,1.0,,Grup B,Sara Torres Castro,False,Sí,1992-02-25,34,0.035
Santiago,Gutiérrez Torres,Colòmbia,Medellín,4,12,1959,Home,2316.33,1.0,,Grup B,Santiago Gutiérrez Torres,False,Sí,1959-12-04,66,0.035
Laura,Castro Torres,Colòmbia,Medellín,6,6,1997,Dona,1488.33,,1.0,Grup B,Laura Castro Torres,False,No,1997-06-06,28,0.035
Valentina,Gutiérrez Rojas,Colòmbia,Medellín,2,10,1959,Dona,1788.48,1.0,,Grup B,Valentina Gutiérrez Rojas,False,Sí,1959-10-02,66,0.035
Valentina,Torres Rojas,Colòmbia,Medellín,22,10,1957,Dona,1491.44,,1.0,Grup B,Valentina Torres Rojas,False,No,1957-10-22,68,0.035
Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1488.33,,1.0,Grup B,Toni Castells Romero,True,No,1961-04-13,65,0.035
Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2175.57,1.0,,Grup B,Toni Castells Martínez,True,Sí,1981-01-10,45,0.035
