Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Año,Gènere,Salari mensual,Fills,No Fills,Grup Professional,nombre_completo,Nacida_en_España,Hijos,fecha_nacimiento,edad_actual,Increment
Anna,Müller,Alemanya,Hamburg,1,1,1987,Dona,2513.28,,1.0,Grup C,Anna Müller,False,No,1987-01-01,39,0.02
Laura,Schmidt Müller,Alemanya,Hamburg,15,6,1987,,2075.7,1.0,,Grup C,Laura Schmidt Müller,False,Sí,1987-06-15,38,0.02
Anna,Fischer,Alemanya,Hamburg,14,5,1985,Dona,2491.86,1.0,,Grup C,Anna Fischer,False,Sí,1985-05-14,41,0.02
Felix,Schmidt Schmidt,Alemanya,Hamburg,20,10,1951,Home,2010.42,,1.0,Grup C,Felix Schmidt Schmidt,False,No,1951-10-20,74,0.02
Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Home,2635.68,1.0,,Grup C,Tomás Rodríguez Fernández,False,Sí,1986-04-20,40,0.02
Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Home,2530.62,,1.0,Grup C,Tomás Fernández Álvarez,False,No,1958-09-08,67,0.02
Juan,Gómez Gómez,Argentina,Còrdova,9,10,1994,Home,1718.7,1.0,,Grup C,Juan Gómez Gómez,False,Sí,1994-10-09,31,0.02
Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Dona,2648.94,1.0,,Grup C,Valentina Castro,False,Sí,1951-09-02,74,0.02
Sara,Gutiérrez,Colòmbia,Bogotà,12,6,1954,Dona,2709.12,1.0,,Grup C,Sara Gutiérrez,False,Sí,1954-06-12,71,0.02
Daniel,Gutiérrez Castro,Colòmbia,Bogotà,8,7,1951,Home,2694.84,,1.0,Grup C,Daniel Gutiérrez Castro,False,No,1951-07-08,74,0.02
Daniela,Castro,Colòmbia,Bogotà,5,2,1954,Dona,2070.6,1.0,,Grup C,Daniela Castro,False,Sí,1954-02-05,72,0.02
Andrés,Gutiérrez Rojas,Colòmbia,Bogotà,18,3,1986,Home,2738.7,,1.0,Grup C,Andrés Gutiérrez Rojas,False,No,1986-03-18,40,0.02
Andrés,Rojas Castro,Colòmbia,Medellín,20,9,1974,Home,2444.94,,1.0,Grup C,Andrés Rojas Castro,False,No,1974-09-20,51,0.02
Toni,Ferrer,Espanya,Barcelona,12,4,1985,Home,2691.78,,1.0,Grup C,Toni Ferrer,True,No,1985-04-12,41,0.02
Marta,Martínez Castells,Espanya,Barcelona,16,7,1977,Dona,2501.04,1.0,,Grup C,Marta Martínez Castells,True,Sí,1977-07-16,48,0.02
Jordi,García Romero,Espanya,Barcelona,28,5,1952,Home,2597.94,1.0,,Grup C,Jordi García Romero,True,Sí,1952-05-28,74,0.02
Pau,Castells,Espanya,Barcelona,22,1,1986,Home,2252.16,,1.0,Grup C,Pau Castells,True,No,1986-01-22,40,0.02
Joan,Martínez,Espanya,Barcelona,14,9,1999,Home,2779.5,,1.0,Grup C,Joan Martínez,True,No,1999-09-14,26,0.02
Núria,Martínez,Espanya,Barcelona,19,6,1981,Dona,1977.78,,1.0,Grup C,Núria Martínez,True,No,1981-06-19,44,0.02
