Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Año,Gènere,Salari mensual,Fills,No Fills,Grup Professional,nombre_completo,Nacida_en_España,Hijos,fecha_nacimiento,edad_actual,Increment
Jonas,Schneider,Alemanya,Berlín,22,11,1985,Home,2974.32,1.0,,Grup D,Jonas Schneider,False,Sí,1985-11-22,40,0.08
Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Home,3222.72,,1.0,Grup D,Leon Schneider Schneider,False,No,1977-10-16,48,0.08
Lea,Schneider,Alemanya,Munic,22,9,1950,Dona,2881.44,1.0,,Grup D,Lea Schneider,False,Sí,1950-09-22,75,0.08
Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Dona,3000.24,,1.0,Grup D,Laura Schneider Müller,False,No,1990-11-28,35,0.08
Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Dona,3255.12,,1.0,Grup D,Florencia Rodríguez Álvarez,False,No,1999-11-27,26,0.08
Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Home,2976.48,,1.0,Grup D,Jordi Sánchez,True,No,1981-06-06,44,0.08
Joan,Romero,Espanya,Barcelona,26,4,1969,Altres,3429.0,,1.0,Grup D,Joan Romero,True,No,1969-04-26,57,0.08
Laia,Ferrer,Espanya,Barcelona,21,12,1987,Dona,3051.0,1.0,,Grup D,Laia Ferrer,True,Sí,1987-12-21,38,0.08
Marta,Castells,Espanya,Barcelona,2,10,2003,Dona,2897.64,,1.0,Grup D,Marta Castells,True,No,2003-10-02,22,0.08
Eva,Ferrer Romero,Espanya,Barcelona,1,11,2005,Dona,3130.92,,1.0,Grup D,Eva Ferrer Romero,True,No,2005-11-01,20,0.08
Laia,Castells,Espanya,Bilbao,19,4,1950,Dona,2643.84,,1.0,Grup D,Laia Castells,True,No,1950-04-19,76,0.08
Eva,Castells Romero,Espanya,Bilbao,25,7,1988,Dona,2627.64,1.0,,Grup D,Eva Castells Romero,True,Sí,1988-07-25,37,0.08
